Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
20,1505,3,NULL,0,0,51
10,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
7,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
11,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
13,0,1,NULL,0,0,51
6,0,1,NULL,0,0,51
8,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
11,0,1,NULL,0,0,51
11,0,1,NULL,0,0,51
9,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
9,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
11,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
9,0,1,NULL,0,0,51
13,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
11,0,1,NULL,0,0,51
9,0,1,NULL,0,0,51
10,0,1,NULL,0,0,51
12,0,1,NULL,0,0,51
11,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
11,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
13,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
13,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
11,255,1,NULL,0,0,51
11,255,1,NULL,0,0,51
18,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
16,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
10,255,1,NULL,0,0,51
11,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
12,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
18,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
15,255,1,NULL,0,0,51
14,255,1,NULL,0,0,51
17,255,1,NULL,0,0,51
